Activity ID,Activity Name,Activity Type,Start Time,Duration (minutes),Distance (km),Calories,Average Heart Rate,Max Heart Rate,Average Speed (km/h),Max Speed (km/h),Elevation Gain (m),Average Cadence,Max Cadence,Average Power,Max Power,Training Effect,Average Temperature,Weather,Location Name
19562103510,Copenhagen - Run Off The Bike Faster at First,running,2025-06-27 17:58:39,40.1,8.82,626.0,163.0,180.0,13.19,15.02,70.25555276870728,,,,,3.4000000953674316,,,Copenhagen
19561669017,Copenhagen - Race Practice Ride,cycling,2025-06-27 16:21:35,87.09,44.27,879.0,137.0,172.0,30.5,63.96,35.77069938182831,,,,,2.9000000953674316,,,Copenhagen
19542754223,Copenhagen Running,running,2025-06-25 17:19:17,67.21,13.52,901.0,143.0,166.0,12.07,13.94,78.68999999761581,,,,,3.5,,,Copenhagen
19538879545,Copenhagen Open Water Swimming,open_water_swimming,2025-06-25 10:44:51,50.91,1.93,370.0,129.0,145.0,2.28,7.1,,,,,,2.0999999046325684,,,Copenhagen
19526785712,Copenhagen - Speed Workout Run,running,2025-06-24 06:38:14,40.67,8.64,612.0,150.0,168.0,12.75,16.46,74.07922029495239,,,,,3.299999952316284,,,Copenhagen
19517165330,Copenhagen - Speed Workout Bike,cycling,2025-06-23 06:44:37,49.16,24.37,556.0,137.0,166.0,29.75,40.08,9.402625054121017,,,,,2.5999999046325684,,,Copenhagen
19515163435,Copenhagen Running,running,2025-06-22 19:31:12,50.54,9.65,663.0,140.0,156.0,11.46,12.87,49.08340835571289,,,,,2.799999952316284,,,Copenhagen
19498066637,Copenhagen Open Water Swimming,open_water_swimming,2025-06-21 08:51:56,70.12,2.92,564.0,102.0,117.0,2.5,7.1,,,,,,0.8999999761581421,,,Copenhagen
19492976020,Copenhagen - Run Off The Bike Faster at First,running,2025-06-20 17:14:30,75.08,15.48,1159.0,163.0,181.0,12.37,14.28,100.8196662068367,,,,,3.9000000953674316,,,Copenhagen
19492192067,Copenhagen - Race Practice Ride,cycling,2025-06-20 14:56:34,119.39,58.96,1154.0,136.0,161.0,29.63,71.34,290.34059262275696,,,,,2.799999952316284,,,Copenhagen
19477374985,Copenhagen Running,running,2025-06-19 06:27:45,37.81,7.05,518.0,146.0,160.0,11.19,13.3,141.48214483261108,,,,,2.799999952316284,,,Copenhagen
19472542041,Copenhagen - Speed Workout Run,running,2025-06-18 17:45:29,48.16,9.43,671.0,155.0,174.0,11.75,17.1,24.160934925079346,,,,,3.5,,,Copenhagen
19467478846,Pool Swim: Threshold Efforts,lap_swimming,2025-06-18 06:50:14,75.57,2.85,571.0,129.0,154.0,2.47,4.46,,,,,,2.299999952316284,,,
19460615810,Strength,strength_training,2025-06-17 15:28:34,60.44,,337.0,99.0,144.0,,,,,,,,0.699999988079071,,,
19456200080,Copenhagen - Speed Workout Bike,cycling,2025-06-17 06:22:47,51.47,24.83,687.0,149.0,180.0,28.95,42.93,251.31008183956146,,,,,3.200000047683716,,,Copenhagen
19440955806,Tårnby - Run Off The Bike,running,2025-06-15 10:36:51,97.57,21.05,1449.0,166.0,179.0,12.94,14.88,146.58999997377396,,,,,5.0,,,Tårnby
